"attr_id","attr_name","search_type","value_type","icon","value_select","attr_type","enable","catelog_id","show_desc"
"7","入网型号","0","0","xxx","A2217;C3J;以官网信息为准","1","1","225","0"
"8","上市年份","0","0","xxx","2018;2019","1","1","225","0"
"9","颜色","0","0","xxx","黑色;白色;蓝色","0","1","225","0"
"10","内存","0","0","xxx","4GB;6GB;8GB;12GB","0","1","225","0"
"11","机身颜色","0","0","xxx","黑色;白色","1","1","225","1"
"12","版本","0","0","xxx","","0","1","225","0"
"13","机身长度（mm）","0","0","xx","158.3;135.9","1","1","225","0"
"14","机身材质工艺","0","1","xxx","以官网信息为准;陶瓷;玻璃","1","1","225","0"
"15","CPU品牌","1","0","xxx","高通(Qualcomm);海思（Hisilicon）;以官网信息为准","1","1","225","1"
"16","CPU型号","1","0","xxx","骁龙665;骁龙845;骁龙855;骁龙730;HUAWEI Kirin 980;HUAWEI Kirin 970","1","1","225","0"
